hmc school,wikipedia link,postcode
St Peter's School,https://en.wikipedia.org/wiki/St_Peter's_School,YO30 6AB
Seaford College,https://en.wikipedia.org/wiki/Seaford_College,GU28 0NB
Sedbergh School,https://en.wikipedia.org/wiki/Sedbergh_School,LA10 5HG
Sevenoaks School,https://en.wikipedia.org/wiki/Sevenoaks_School,TN13 1HU
Sherborne School,https://en.wikipedia.org/wiki/Sherborne_School,DT9 3AP
Sherborne Girls,https://en.wikipedia.org/wiki/Sherborne_Girls,DT9 3QN
Shiplake College,https://en.wikipedia.org/wiki/Shiplake_College,RG9 4BW
Shrewsbury School,https://en.wikipedia.org/wiki/Shrewsbury_School,SY3 7BA
Sidcot School,https://en.wikipedia.org/wiki/Sidcot_School,BS25 1PD
Silcoates School,https://en.wikipedia.org/wiki/Silcoates_School,WF2 OPD
Sir William Perkins's School,https://en.wikipedia.org/wiki/Sir_William_Perkins's_School,KT16 9BN
Solihull School,https://en.wikipedia.org/wiki/Solihull_School,B91 3DJ
South Hampstead High School,https://en.wikipedia.org/wiki/South_Hampstead_High_School,NW3 5SS
Stamford School,https://en.wikipedia.org/wiki/Stamford_School,PE9 2BQ
Stephen Perse Foundation,https://en.wikipedia.org/wiki/Stephen_Perse_Foundation,CB2 1HF
Stockport Grammar School,https://en.wikipedia.org/wiki/Stockport_Grammar_School,SK2 7AF
Stonyhurst College,https://en.wikipedia.org/wiki/Stonyhurst_College,BB7 9PZ
Stowe School,https://en.wikipedia.org/wiki/Stowe_School,MK18 5EH
Surbiton High School,https://en.wikipedia.org/wiki/Surbiton_High_School,KT1 2JT
Sutton Valence School,https://en.wikipedia.org/wiki/Sutton_Valence_School,ME17 3HL
Taunton School,https://en.wikipedia.org/wiki/Taunton_School,TA2 6AD
Tonbridge School,https://en.wikipedia.org/wiki/Tonbridge_School,TN9 1JP
Trent College,https://en.wikipedia.org/wiki/Trent_College,NG10 4AD
Trinity School of John Whitgift,https://en.wikipedia.org/wiki/Trinity_School_of_John_Whitgift,CR9 7AT
Truro School,https://en.wikipedia.org/wiki/Truro_School,TR1 1TH
University College School,https://en.wikipedia.org/wiki/University_College_School,NW3 6QN
Uppingham School,https://en.wikipedia.org/wiki/Uppingham_School,LE15 9QE
Warminster School,https://en.wikipedia.org/wiki/Warminster_School,BA12 8PJ
Warwick School,https://en.wikipedia.org/wiki/Warwick_School,CV34 6PP
Wellingborough School,https://en.wikipedia.org/wiki/Wellingborough_School,NN8 2BX
Wellington College,https://en.wikipedia.org/wiki/Wellington_College,RG45 7PU
Wellington School,https://en.wikipedia.org/wiki/Wellington_School,TA21 8NT
Wells Cathedral School,https://en.wikipedia.org/wiki/Wells_Cathedral_School,BA5 2ST
West Buckland School,https://en.wikipedia.org/wiki/West_Buckland_School,EX32 0SX
Westminster School,https://en.wikipedia.org/wiki/Westminster_School,SW1P 3PF
Whitgift School,https://en.wikipedia.org/wiki/Whitgift_School,CR2 6YT
Wimbledon High School,https://en.wikipedia.org/wiki/Wimbledon_High_School,SW19 4AB
Wisbech Grammar School,https://en.wikipedia.org/wiki/Wisbech_Grammar_School,PE13 1JX
Withington Girls' School,https://en.wikipedia.org/wiki/Withington_Girls'_School,M14 6BL
Wolverhampton Grammar School,https://en.wikipedia.org/wiki/Wolverhampton_Grammar_School,WV3 9RB
Woodbridge School,https://en.wikipedia.org/wiki/Woodbridge_School,IP12 4NH
Woodhouse Grove School,https://en.wikipedia.org/wiki/Woodhouse_Grove_School,BD10 0NR
Worksop College,https://en.wikipedia.org/wiki/Worksop_College,S80 3AP
Worth School,https://en.wikipedia.org/wiki/Worth_School,RH10 4SD
Wrekin College,https://en.wikipedia.org/wiki/Wrekin_College,TF1 3BH
Wycliffe College,https://en.wikipedia.org/wiki/Wycliffe_College,GL10 2JQ
Wycombe Abbey,https://en.wikipedia.org/wiki/Wycombe_Abbey,HP11 1PE
Yarm School,https://en.wikipedia.org/wiki/Yarm_School,TS15 9EJ
